Region,Salmon Area Name,Year,Species Code,Number of Fish (estimated),Estimated Exvessel Value (Nominal),Landed Weight (lbs)
AYK,Kuskokwim,1997,Sockeye,122935,374911.97,871851
AYK,Kuskokwim,1998,Chinook,44174,183096.96,628673
AYK,Kuskokwim,1998,Chum,267054,262666.56,1832358
AYK,Kuskokwim,1998,Coho,311848,827886.04,2422500
AYK,Kuskokwim,1998,Pink,2720,1111.9,10421
AYK,Kuskokwim,1998,Sockeye,129444,504285.14,873521
AYK,Kuskokwim,1999,Chinook,25001,132394.37,387118
AYK,Kuskokwim,1999,Chum,72653,58152.38,528658
AYK,Kuskokwim,1999,Coho,32251,78494.41,211574
AYK,Kuskokwim,1999,Pink,,,
AYK,Kuskokwim,1999,Sockeye,81198,325588.89,529403
AYK,Kuskokwim,2000,Chinook,26105,170915.55,407300
AYK,Kuskokwim,2000,Chum,49568,40561.53,378907
AYK,Kuskokwim,2000,Coho,307439,613709.31,2116810
AYK,Kuskokwim,2000,Pink,,,
AYK,Kuskokwim,2000,Sockeye,109938,430459.93,749451
AYK,Kuskokwim,2001,Chinook,14384,115050.95,288208
AYK,Kuskokwim,2001,Chum,21894,17978.63,163214
AYK,Kuskokwim,2001,Coho,220833,496224.71,1705726
AYK,Kuskokwim,2001,Sockeye,59545,174177.32,451052
AYK,Kuskokwim,2002,Chinook,12537,69309.22,174321
AYK,Kuskokwim,2002,Chum,35018,27591.31,275438
AYK,Kuskokwim,2002,Coho,113199,182586.47,890251
AYK,Kuskokwim,2002,Sockeye,24208,64149.91,161206
AYK,Kuskokwim,2003,Chinook,16014,86607.23,217592
AYK,Kuskokwim,2003,Chum,36225,24112.57,249384
AYK,Kuskokwim,2003,Coho,346555,596865.96,2758289
AYK,Kuskokwim,2003,Sockeye,63646,206133.16,462108
AYK,Kuskokwim,2004,Chinook,30206,135251.83,366544
AYK,Kuskokwim,2004,Chum,51910,30153.9,355661
AYK,Kuskokwim,2004,Coho,542206,1248326.28,3728952
AYK,Kuskokwim,2004,Sockeye,63439,153432.61,419648
AYK,Kuskokwim,2005,Chinook,30990,272993.84,450852
AYK,Kuskokwim,2005,Chum,84909,31752.16,572614
AYK,Kuskokwim,2005,Coho,205035,432736.24,1525752
AYK,Kuskokwim,2005,Pink,,,
AYK,Kuskokwim,2005,Sockeye,120217,454777.95,805156
AYK,Kuskokwim,2006,Chinook,,,
AYK,Kuskokwim,2006,Chum,,,
AYK,Kuskokwim,2006,Coho,223861,496018.34,1408509
AYK,Kuskokwim,2006,Pink,,,
AYK,Kuskokwim,2006,Sockeye,,,
AYK,Kuskokwim,2007,Chinook,,,
AYK,Kuskokwim,2007,Chum,79446,26815.27,542919
AYK,Kuskokwim,2007,Coho,189062,562908.19,1369824
AYK,Kuskokwim,2007,Sockeye,153624,583052.09,1007161
AYK,Kuskokwim,2008,Chinook,23907,240127.81,307504
AYK,Kuskokwim,2008,Chum,97818,34819.4,696388
AYK,Kuskokwim,2008,Coho,259367,963222.73,1840753
AYK,Kuskokwim,2008,Pink,,,
AYK,Kuskokwim,2008,Sockeye,112428,473247.03,752997
AYK,Kuskokwim,2009,Chinook,22063,217454.25,289939
AYK,Kuskokwim,2009,Chum,184683,191120.1,1274134
AYK,Kuskokwim,2009,Coho,160893,607255,1214510
AYK,Kuskokwim,2009,Pink,,,
AYK,Kuskokwim,2009,Sockeye,170260,937559.35,1103011
AYK,Kuskokwim,2010,Chinook,18720,427380.55,245261
AYK,Kuskokwim,2010,Chum,226563,393032.29,1556703
AYK,Kuskokwim,2010,Coho,76526,544428.42,539523
AYK,Kuskokwim,2010,Pink,,,
AYK,Kuskokwim,2010,Sockeye,201857,1537005.85,1375488
AYK,Kuskokwim,2011,Chinook,,,
AYK,Kuskokwim,2011,Chum,236242,1032688.33,1515216
AYK,Kuskokwim,2011,Coho,119625,638328.22,853473
AYK,Kuskokwim,2011,Pink,,,
AYK,Kuskokwim,2011,Sockeye,76596,428381.38,499665
AYK,Kuskokwim,2012,Chinook,,,
AYK,Kuskokwim,2012,Chum,,,
AYK,Kuskokwim,2012,Coho,142982,710052.68,874922
AYK,Kuskokwim,2012,Sockeye,,,
AYK,Kuskokwim,2013,Chinook,,,
AYK,Kuskokwim,2013,Chum,,,
AYK,Kuskokwim,2013,Coho,156672,1190739,1190739
AYK,Kuskokwim,2013,Sockeye,,,
AYK,Kuskokwim,2014,Chinook,,,
AYK,Kuskokwim,2014,Chum,,,
AYK,Kuskokwim,2014,Coho,,,
AYK,Kuskokwim,2014,Pink,,,
AYK,Kuskokwim,2014,Sockeye,,,
AYK,Kuskokwim,2015,Chinook,,,
AYK,Kuskokwim,2015,Chum,,,
AYK,Kuskokwim,2015,Coho,,,
AYK,Kuskokwim,2015,Sockeye,,,
AYK,Kuskokwim,2016,Chinook,,,
AYK,Kuskokwim,2016,Chum,,,
AYK,Kuskokwim,2016,Coho,,,
AYK,Kuskokwim,2016,Pink,,,
AYK,Kuskokwim,2016,Sockeye,,,
AYK,Kuskokwim,2017,Chum,,,
AYK,Kuskokwim,2017,Coho,,,
AYK,Kuskokwim,2017,Sockeye,,,
AYK,Kuskokwim,2018,Chum,,,
AYK,Kuskokwim,2018,Coho,,,
AYK,Kuskokwim,2018,Pink,,,
AYK,Kuskokwim,2018,Sockeye,,,
AYK,Kuskokwim,2019,Chum,,,
AYK,Kuskokwim,2019,Coho,,,
AYK,Kuskokwim,2019,Pink,,,
AYK,Kuskokwim,2019,Sockeye,,,
AYK,Kuskokwim,2020,Chinook,,,
AYK,Kuskokwim,2020,Chum,,,
AYK,Kuskokwim,2020,Coho,,,
AYK,Kuskokwim,2020,Pink,,,
AYK,Kuskokwim,2020,Sockeye,,,
AYK,Norton Sound,1979,Chinook,10801,215734.89,231973
AYK,Norton Sound,1979,Chum,137985,400602,1001505
AYK,Norton Sound,1979,Coho,31121,165760.98,251153
AYK,Norton Sound,1979,Pink,164843,95755.84,598474
AYK,Norton Sound,1979,Sockeye,205,424,1060
AYK,Norton Sound,1980,Chinook,6322,100378.04,135646
AYK,Norton Sound,1980,Chum,180709,298151.76,1296312
AYK,Norton Sound,1980,Coho,29955,128208.15,203505
AYK,Norton Sound,1980,Pink,227237,50350.79,719297
AYK,Norton Sound,1980,Sockeye,40,81.12,312
AYK,Norton Sound,1981,Chinook,7924,205218.75,164175
AYK,Norton Sound,1981,Chum,169212,333240.44,1281694
AYK,Norton Sound,1981,Coho,31202,129984.24,209652
AYK,Norton Sound,1981,Pink,229452,92332.63,710251
AYK,Norton Sound,1981,Sockeye,58,106.86,411
AYK,Norton Sound,1982,Chinook,5892,107374.1,96995
AYK,Norton Sound,1982,Chum,183209,510715.62,1336952
AYK,Norton Sound,1982,Coho,91691,371449.64,648253
AYK,Norton Sound,1982,Pink,224705,79800.79,643557
AYK,Norton Sound,1982,Sockeye,12,44.56,78
AYK,Norton Sound,1983,Chinook,10307,179647,179647
AYK,Norton Sound,1983,Chum,319046,598896.04,2348564
AYK,Norton Sound,1983,Coho,49574,136514.04,350036
AYK,Norton Sound,1983,Pink,75975,31140.46,270734
AYK,Norton Sound,1984,Chinook,8455,202924.8,169104
AYK,Norton Sound,1984,Chum,146442,246992.74,1020635
AYK,Norton Sound,1984,Coho,67875,250666.14,523310
AYK,Norton Sound,1984,Pink,118148,37477.55,340705
AYK,Norton Sound,1984,Sockeye,,,
AYK,Norton Sound,1985,Chinook,19491,446168.24,419331
AYK,Norton Sound,1985,Chum,134878,284680.29,939534
