Region,Salmon Area Name,Year,Species Code,Number of Fish (estimated),Estimated Exvessel Value (Nominal),Landed Weight (lbs)
AYK,Yukon,1989,Pink,,,
AYK,Yukon,1989,Sockeye,,,
AYK,Yukon,1990,Chinook,94184,5002473.4,1828309
AYK,Yukon,1990,Chum,426402,850436.05,3129478
AYK,Yukon,1990,Coho,40982,150041.75,272161
AYK,Yukon,1990,Pink,743,292.68,1876
AYK,Yukon,1991,Chinook,101230,7285858.99,2046851
AYK,Yukon,1991,Chum,577242,1313135.4,3978180
AYK,Yukon,1991,Coho,103180,309525.74,709097
AYK,Yukon,1992,Chinook,118742,10216438.81,2536008
AYK,Yukon,1992,Chum,347821,663201.57,2397423
AYK,Yukon,1992,Coho,6556,28438.8,40685
AYK,Yukon,1993,Chinook,93530,5251537.93,1904982
AYK,Yukon,1993,Chum,96511,236459.93,634859
AYK,Yukon,1994,Chinook,113125,4498003.14,2260049
AYK,Yukon,1994,Chum,83914,111472.59,528679
AYK,Yukon,1994,Coho,,,
AYK,Yukon,1995,Chinook,122697,5433482.37,2636032
AYK,Yukon,1995,Chum,510521,551881.99,3527136
AYK,Yukon,1995,Coho,45990,90610.76,317697
AYK,Yukon,1996,Chinook,89663,3637670.49,1836122
AYK,Yukon,1996,Chum,233909,191694.49,1732942
AYK,Yukon,1996,Coho,52643,99117.69,400960
AYK,Yukon,1997,Chinook,112891,5631407.66,2325318
AYK,Yukon,1997,Chum,151955,151908.15,1089678
AYK,Yukon,1997,Coho,35320,85284.85,255228
AYK,Yukon,1998,Chinook,43696,1906041.93,781280
AYK,Yukon,1998,Chum,28654,26820.88,191965
AYK,Yukon,1998,Coho,,,
AYK,Yukon,1999,Chinook,69261,4994273.32,1368417
AYK,Yukon,1999,Chum,49741,66093.25,352827
AYK,Yukon,1999,Coho,1601,3609.44,10342
AYK,Yukon,2000,Chinook,8494,693581.34,158388
AYK,Yukon,2000,Chum,6622,7766.85,50762
AYK,Yukon,2002,Chinook,24052,1883809.19,470924
AYK,Yukon,2002,Chum,13546,9389.32,93326
AYK,Yukon,2003,Chinook,40438,1955846.44,841752
AYK,Yukon,2003,Chum,21681,18747.37,144942
AYK,Yukon,2003,Coho,25243,22821.8,165756
AYK,Yukon,2004,Chinook,56151,2946718.67,1142058
AYK,Yukon,2004,Chum,30520,15611.08,165587
AYK,Yukon,2004,Coho,,,
AYK,Yukon,2004,Sockeye,,,
AYK,Yukon,2005,Chinook,32015,2025261.79,596887
AYK,Yukon,2005,Chum,221426,411172.69,1637486
AYK,Yukon,2005,Coho,58311,94858.56,410398
AYK,Yukon,2006,Chinook,45829,3390366.19,857556
AYK,Yukon,2006,Chum,266658,361097.42,1844983
AYK,Yukon,2006,Coho,64942,78100.4,390502
AYK,Yukon,2007,Chinook,33629,2067465.83,593933
AYK,Yukon,2007,Chum,288878,425963.81,1890825
AYK,Yukon,2007,Coho,44575,129249.4,331412
AYK,Yukon,2008,Chinook,4641,325758.58,65558
AYK,Yukon,2008,Chum,270451,975033.85,1877361
AYK,Yukon,2008,Coho,35691,202971.21,243030
AYK,Yukon,2008,Pink,,,
AYK,Yukon,2008,Sockeye,,,
AYK,Yukon,2009,Chinook,,,
AYK,Yukon,2009,Chum,195541,664599.45,1260798
AYK,Yukon,2009,Coho,8033,52704,55464
AYK,Yukon,2009,Sockeye,,,
AYK,Yukon,2010,Chinook,,,
AYK,Yukon,2010,Chum,235438,894297.39,1457913
AYK,Yukon,2010,Coho,,,
AYK,Yukon,2011,Chinook,,,
AYK,Yukon,2011,Chum,514140,2956233.54,3483465
AYK,Yukon,2011,Coho,76315,479031.62,516502
AYK,Yukon,2012,Chum,609267,2580926.92,3810803
AYK,Yukon,2012,Coho,74789,541626.32,457467
AYK,Yukon,2012,Sockeye,,,
AYK,Yukon,2013,Chinook,1139,0,0
AYK,Yukon,2013,Chum,723420,3051383.36,4495821
AYK,Yukon,2013,Coho,66177,461151.88,454658
AYK,Yukon,2014,Chinook,5970,0,0
AYK,Yukon,2014,Chum,646243,2434394.89,4152065
AYK,Yukon,2014,Coho,104692,713735.36,712841
AYK,Yukon,2014,Pink,,,
AYK,Yukon,2015,Chinook,,,
AYK,Yukon,2015,Chum,550326,2045193.31,3513754
AYK,Yukon,2015,Coho,129700,623508.22,935923
AYK,Yukon,2015,Pink,,,
AYK,Yukon,2016,Chinook,,,
AYK,Yukon,2016,Chum,991320,4024446.84,6453563
AYK,Yukon,2016,Coho,201482,1159324.96,1265743
AYK,Yukon,2016,Pink,,,
AYK,Yukon,2017,Chinook,4896,9922,1804
AYK,Yukon,2017,Chum,1046218,3813330.24,6856342
AYK,Yukon,2017,Coho,138915,823401.59,871451
AYK,Yukon,2018,Chinook,2755,0,0
AYK,Yukon,2018,Chum,1042257,4022870.23,6309724
AYK,Yukon,2018,Coho,110590,681119.63,703326
AYK,Yukon,2018,Pink,,,
AYK,Yukon,2018,Sockeye,,,
AYK,Yukon,2019,Chinook,,,
AYK,Yukon,2019,Chum,495449,1404552.95,3240715
AYK,Yukon,2019,Coho,58591,339123.28,347691
AYK,Yukon,2019,Pink,,,
AYK,Yukon,2019,Sockeye,,,
AYK,Yukon,2020,Chum,,,
AYK,Yukon,2020,Pink,,,
Central,Bristol Bay,1979,Chinook,207317,4285636.74,4205787
Central,Bristol Bay,1979,Chum,799610,2637824.54,5252506
Central,Bristol Bay,1979,Coho,73572,550935,524700
Central,Bristol Bay,1979,Pink,3427,6416.3,16885
Central,Bristol Bay,1979,Sockeye,20736734,124881991.66,121835986
Central,Bristol Bay,1980,Chinook,94719,1867814,1867814
Central,Bristol Bay,1980,Chum,1283518,2623008.54,7714731
Central,Bristol Bay,1980,Coho,348263,1412267.91,2477663
Central,Bristol Bay,1980,Pink,2561833,2154724.25,8618897
Central,Bristol Bay,1980,Sockeye,22370367,71406335.61,125274273
Central,Bristol Bay,1981,Chinook,237290,5361828.24,4434913
Central,Bristol Bay,1981,Chum,1504430,4023629.45,9934523
Central,Bristol Bay,1981,Coho,313705,1397951.8,1997074
Central,Bristol Bay,1981,Pink,7280,7509.04,25279
Central,Bristol Bay,1981,Sockeye,25594698,121991297.47,158842833
Central,Bristol Bay,1982,Chinook,252962,6250048.28,5093750
Central,Bristol Bay,1982,Chum,822662,1955483.8,5523974
Central,Bristol Bay,1982,Coho,619471,3459801.7,4594681
Central,Bristol Bay,1982,Pink,1492209,1113219.98,4991978
Central,Bristol Bay,1982,Sockeye,15096663,66201715.04,96644660
Central,Bristol Bay,1983,Chinook,198349,2896840.78,4144243
Central,Bristol Bay,1983,Chum,1631045,3251766.36,10225690
Central,Bristol Bay,1983,Coho,128101,370147.1,826221
Central,Bristol Bay,1983,Pink,484,429.29,2178
Central,Bristol Bay,1983,Sockeye,37360549,136141333.14,211728301
Central,Bristol Bay,1984,Chinook,101947,2101016.84,2035869
Central,Bristol Bay,1984,Chum,2022029,3816912.55,12596968
Central,Bristol Bay,1984,Coho,574416,3336234.57,4355396
Central,Bristol Bay,1984,Pink,3366065,2443038.91,10762252
Central,Bristol Bay,1984,Sockeye,24704369,91736825.72,139417667
Central,Bristol Bay,1985,Chinook,120371,2111911.52,2190780
Central,Bristol Bay,1985,Chum,1067878,2173062.64,6833527
Central,Bristol Bay,1985,Coho,162822,931933.18,1324352
Central,Bristol Bay,1985,Pink,457,390.49,1798
Central,Bristol Bay,1985,Sockeye,23685375,113567866.48,136172504
Central,Bristol Bay,1986,Chinook,93640,1756723.21,1744505
Central,Bristol Bay,1986,Chum,1226040,2494987.17,7971131
Central,Bristol Bay,1986,Coho,182075,823615.18,1223792
Central,Bristol Bay,1986,Pink,401287,206099.82,1411645
Central,Bristol Bay,1986,Sockeye,15754733,136165757.05,95689199
Central,Bristol Bay,1987,Chinook,75396,1773742.78,1514718
Central,Bristol Bay,1987,Chum,1528872,2975547.26,9885453
Central,Bristol Bay,1987,Coho,65403,326658.71,456227
Central,Bristol Bay,1987,Pink,57,47.27,219
Central,Bristol Bay,1987,Sockeye,16058115,133715524.04,95716176
Central,Bristol Bay,1988,Chinook,45119,905969.94,840417
Central,Bristol Bay,1988,Chum,1465895,4781210.36,10172788
Central,Bristol Bay,1988,Coho,202698,2136512.78,1510971
Central,Bristol Bay,1988,Pink,955560,1206243.71,3417106
Central,Bristol Bay,1988,Sockeye,13940269,183884567.68,87397609
Central,Bristol Bay,1989,Chinook,39683,626106.23,762606
Central,Bristol Bay,1989,Chum,1256954,2019684.86,7858541
Central,Bristol Bay,1989,Coho,239834,1260401.62,1782740
Central,Bristol Bay,1989,Pink,434,290.84,1653
Central,Bristol Bay,1989,Sockeye,28696951,205234920.19,163664212
Central,Bristol Bay,1990,Chinook,33900,523656.21,576074
Central,Bristol Bay,1990,Chum,1054500,1744145.29,6532238
Central,Bristol Bay,1990,Coho,103316,574557.56,773291
Central,Bristol Bay,1990,Pink,496445,619851.55,1913122
Central,Bristol Bay,1990,Sockeye,33405088,210130844.44,192075727
Central,Bristol Bay,1991,Chinook,30390,314717.99,470423
Central,Bristol Bay,1991,Chum,1289131,1783942.63,7928049
Central,Bristol Bay,1991,Coho,117740,491732.28,816831
Central,Bristol Bay,1991,Pink,305,164.71,1043
Central,Bristol Bay,1991,Sockeye,25775068,112565620.96,149291277
Central,Bristol Bay,1992,Chinook,68668,1070914.92,1147812
Central,Bristol Bay,1992,Chum,919250,1550389.29,5828530
Central,Bristol Bay,1992,Coho,191532,785434.25,1342603
Central,Bristol Bay,1992,Pink,499536,251543.74,1809613
Central,Bristol Bay,1992,Sockeye,31817345,204409293.6,182182973
Central,Bristol Bay,1993,Chinook,85425,1128293.01,1482634
Central,Bristol Bay,1993,Chum,837731,1191255.01,5390115
Central,Bristol Bay,1993,Coho,72729,262556.52,502018
Central,Bristol Bay,1993,Pink,413,178.09,1394
Central,Bristol Bay,1993,Sockeye,40379450,164269499.17,243002216
Central,Bristol Bay,1994,Chinook,140815,1616088.82,2541020
Central,Bristol Bay,1994,Chum,893960,1200123.82,5581271
Central,Bristol Bay,1994,Coho,175240,1019180.15,1437486
Central,Bristol Bay,1994,Pink,89907,41094.71,339610
Central,Bristol Bay,1994,Sockeye,35113579,192997482.83,194909664
Central,Bristol Bay,1995,Chinook,99295,1293571.08,1962919
Central,Bristol Bay,1995,Chum,978335,1259832.82,6205872
Central,Bristol Bay,1995,Coho,49444,137873.5,329841
Central,Bristol Bay,1995,Pink,471,229.36,1674
Central,Bristol Bay,1995,Sockeye,44163053,193385061.51,242946055
Central,Bristol Bay,1996,Chinook,86334,751188.98,1475804
Central,Bristol Bay,1996,Chum,825664,607795.71,5679951
Central,Bristol Bay,1996,Coho,125299,315588.35,1080782
Central,Bristol Bay,1996,Pink,37622,6561.45,131229
Central,Bristol Bay,1996,Sockeye,29502600,150161988.51,185385171
Central,Bristol Bay,1997,Chinook,76251,638935.65,1252815
Central,Bristol Bay,1997,Chum,316714,198570.95,2005554
Central,Bristol Bay,1997,Coho,50424,178341.88,366203
Central,Bristol Bay,1997,Pink,108,23.95,366
Central,Bristol Bay,1997,Sockeye,12071112,67763489.94,72165563
Central,Bristol Bay,1998,Chinook,134708,1396828.35,2249313
Central,Bristol Bay,1998,Chum,394695,228321.65,2454874
Central,Bristol Bay,1998,Coho,125840,502029.03,1048074
Central,Bristol Bay,1998,Pink,25430,6730.88,84136
Central,Bristol Bay,1998,Sockeye,9928119,68978465.3,57054128
Central,Bristol Bay,1999,Chinook,26421,202761.25,384018
Central,Bristol Bay,1999,Chum,685166,408485.04,4004801
Central,Bristol Bay,1999,Coho,19545,47735.07,134845
Central,Bristol Bay,1999,Pink,68,19.71,225
Central,Bristol Bay,1999,Sockeye,25597607,113765880.48,135435572
Central,Bristol Bay,2000,Chinook,22854,163124.24,357728
Central,Bristol Bay,2000,Chum,397302,232680.2,2643989
Central,Bristol Bay,2000,Coho,130954,355985.59,980674
Central,Bristol Bay,2000,Pink,58671,15656.63,208714
Central,Bristol Bay,2000,Sockeye,20351787,83617060.03,124988081
Central,Bristol Bay,2001,Chinook,24328,129749.44,424018
Central,Bristol Bay,2001,Chum,831691,680333.42,5967856
Central,Bristol Bay,2001,Coho,17084,39902.48,122025
Central,Bristol Bay,2001,Pink,428,100.6,1176
Central,Bristol Bay,2001,Sockeye,14074136,40056431.88,94920454
Central,Bristol Bay,2002,Chinook,44111,267595.87,803584
Central,Bristol Bay,2002,Chum,468208,289679.2,3148705
Central,Bristol Bay,2002,Coho,8410,18577.07,58788
Central,Bristol Bay,2002,Pink,527,126.59,2040
Central,Bristol Bay,2002,Sockeye,10526282,31452739.26,64058499
Central,Bristol Bay,2003,Chinook,46760,240961.58,748328
Central,Bristol Bay,2003,Chum,932860,482081.92,6026024
Central,Bristol Bay,2003,Coho,43243,115483.86,290160
Central,Bristol Bay,2003,Pink,244,39.53,1195
Central,Bristol Bay,2003,Sockeye,14629333,47574832.9,92558041
Central,Bristol Bay,2004,Chinook,109484,603015.19,1663709
Central,Bristol Bay,2004,Chum,702312,382502.32,4469070
Central,Bristol Bay,2004,Coho,72379,159491.86,501455
Central,Bristol Bay,2004,Pink,52379,7579.84,215933
Central,Bristol Bay,2004,Sockeye,23986072,71308682.88,138767768
Central,Bristol Bay,2005,Chinook,76545,751032.19,1261526
Central,Bristol Bay,2005,Chum,1395983,965134.05,9101570
Central,Bristol Bay,2005,Coho,74551,152915.7,522833
Central,Bristol Bay,2005,Pink,2683,227.12,9303
Central,Bristol Bay,2005,Sockeye,24469455,96068674.72,154663493
Central,Bristol Bay,2006,Chinook,105902,1271008.83,1793195
Central,Bristol Bay,2006,Chum,2243136,1585894.8,13804095
Central,Bristol Bay,2006,Coho,79449,191602.54,510642
Central,Bristol Bay,2006,Pink,145578,20113.2,541920
Central,Bristol Bay,2006,Sockeye,28446129,108928320.43,164244980
Central,Bristol Bay,2007,Chinook,62259,526346.37,840341
Central,Bristol Bay,2007,Chum,1937580,1554630.59,11738584
Central,Bristol Bay,2007,Coho,51980,135431.52,334875
Central,Bristol Bay,2007,Pink,937,91.22,3266
Central,Bristol Bay,2007,Sockeye,29684347,115802721.63,172847498
Central,Bristol Bay,2008,Chinook,24572,310003.6,382295
Central,Bristol Bay,2008,Chum,1257484,1304806.18,7819289
Central,Bristol Bay,2008,Coho,116736,417936.58,753188
Central,Bristol Bay,2008,Pink,285175,176776.63,1012473
Central,Bristol Bay,2008,Sockeye,27559093,118885871.09,159201953
Central,Bristol Bay,2009,Chinook,30794,414315.88,467784
Central,Bristol Bay,2009,Chum,1323089,1457064.21,8269856
Central,Bristol Bay,2009,Coho,59273,211565.25,385357
Central,Bristol Bay,2009,Pink,508,118.91,1660
Central,Bristol Bay,2009,Sockeye,30833043,146132205.75,182920533
Central,Bristol Bay,2010,Chinook,32137,444547.6,453620
Central,Bristol Bay,2010,Chum,1000866,1644685.56,6091428
Central,Bristol Bay,2010,Coho,108502,385917.91,728147
Central,Bristol Bay,2010,Pink,1334023,1627965.22,4399906
Central,Bristol Bay,2010,Sockeye,28997614,161055719.2,169532336
Central,Bristol Bay,2011,Chinook,35575,481910.41,462395
Central,Bristol Bay,2011,Chum,702135,1654039.63,4500414
Central,Bristol Bay,2011,Coho,13371,61676.38,82890
Central,Bristol Bay,2011,Pink,626,548.47,1908
Central,Bristol Bay,2011,Sockeye,22089736,156730308.95,134662469
Central,Bristol Bay,2012,Chinook,18556,348761.14,266666
Central,Bristol Bay,2012,Chum,679062,1475034.64,4279847
Central,Bristol Bay,2012,Coho,115938,348441.49,631430
Central,Bristol Bay,2012,Pink,906464,1090300.18,2822435
Central,Bristol Bay,2012,Sockeye,20899273,139404296.77,119117222
Central,Bristol Bay,2013,Chinook,13990,231768.14,214008
Central,Bristol Bay,2013,Chum,1138003,2125347.93,7255409
Central,Bristol Bay,2013,Coho,137250,652106.02,823146
Central,Bristol Bay,2013,Pink,389,203.49,1501
Central,Bristol Bay,2013,Sockeye,15411236,148384623.02,92344969
Central,Bristol Bay,2014,Chinook,15078,311698.3,232765
Central,Bristol Bay,2014,Chum,482037,1233420.09,2929169
Central,Bristol Bay,2014,Coho,287048,1614095.1,1846216
Central,Bristol Bay,2014,Pink,1298153,1180265.02,4763472
Central,Bristol Bay,2014,Sockeye,29091906,217120255.57,161631911
Central,Bristol Bay,2015,Chinook,55207,353638.55,584628
Central,Bristol Bay,2015,Chum,1094016,1895625.22,6576766
Central,Bristol Bay,2015,Coho,37542,100738.51,257366
Central,Bristol Bay,2015,Pink,2012,480.65,7105
Central,Bristol Bay,2015,Sockeye,36147495,122555917.73,192262410
Central,Bristol Bay,2016,Chinook,32954,371826.29,430684
Central,Bristol Bay,2016,Chum,969318,1726140.25,5903002
Central,Bristol Bay,2016,Coho,90711,312563.21,538903
Central,Bristol Bay,2016,Pink,768614,545106.27,3010658
Central,Bristol Bay,2016,Sockeye,37583343,189432329.67,200921706
Central,Bristol Bay,2017,Chinook,41397,395784.97,476970
Central,Bristol Bay,2017,Chum,1493265,2740216.86,9493935
Central,Bristol Bay,2017,Coho,240885,1075921.87,1531174
Central,Bristol Bay,2017,Pink,34556,19271.76,129323
Central,Bristol Bay,2017,Sockeye,38732067,271227096.54,207764833
Central,Bristol Bay,2018,Chinook,44720,479864.61,469716
Central,Bristol Bay,2018,Chum,1636717,3676589.74,10324931
Central,Bristol Bay,2018,Coho,161884,719725.69,1052920
Central,Bristol Bay,2018,Pink,244254,238678.66,871926
Central,Bristol Bay,2018,Sockeye,41930525,344484465.4,215756116
Central,Bristol Bay,2019,Chinook,33234,396340.61,385800
Central,Bristol Bay,2019,Chum,1394230,3409907.13,8632961
Central,Bristol Bay,2019,Coho,81005,301389.65,485968
Central,Bristol Bay,2019,Pink,6832,4079.39,22133
Central,Bristol Bay,2019,Sockeye,43017635,338424655.82,222849997
Central,Bristol Bay,2020,Chinook,10124,392788.28,97393
Central,Bristol Bay,2020,Chum,294470,934012.27,1779417
Central,Bristol Bay,2020,Coho,115228,553298.77,627787
Central,Bristol Bay,2020,Pink,73315,65822.14,239524
Central,Bristol Bay,2020,Sockeye,39734251,307242661.44,200957627
Central,Cook Inlet,1979,Chinook,14974,653552.76,401310
Central,Cook Inlet,1979,Chum,872785,5302096.84,6595709
Central,Cook Inlet,1979,Coho,284034,1755308.53,1799182
Central,Cook Inlet,1979,Pink,3052352,4488363.75,10544547
Central,Cook Inlet,1979,Sockeye,987649,8709756.47,6142942
Central,Cook Inlet,1980,Chinook,14218,425129.7,369678
Central,Cook Inlet,1980,Chum,461174,1823692.87,3408740
Central,Cook Inlet,1980,Coho,285240,959095.4,1667956
Central,Cook Inlet,1980,Pink,2674688,3080016.14,9058871
Central,Cook Inlet,1980,Sockeye,1637122,8234726.05,9687913
Central,Cook Inlet,1981,Chinook,13323,435912.18,298528
Central,Cook Inlet,1981,Chum,1168861,5435863.07,9126658
Central,Cook Inlet,1981,Coho,494371,2695950.39,3246981
Central,Cook Inlet,1981,Pink,3406182,5534590.47,12670721
Central,Cook Inlet,1981,Sockeye,1548070,11860922.64,9892642
Central,Cook Inlet,1982,Chinook,21936,789731.14,623329
Central,Cook Inlet,1982,Chum,1631506,6578037.18,13593857
Central,Cook Inlet,1982,Coho,839793,4365283.71,6080626
Central,Cook Inlet,1982,Pink,1342162,821779.49,4862355
Central,Cook Inlet,1982,Sockeye,3390660,25942399.54,23654905
Central,Cook Inlet,1983,Chinook,21507,613030.68,628945
Central,Cook Inlet,1983,Chum,1306743,3679485.32,10398266
Central,Cook Inlet,1983,Coho,526942,1649317.83,3636695
Central,Cook Inlet,1983,Pink,997036,720973.66,3033146
Central,Cook Inlet,1983,Sockeye,5236992,24832624.44,33395210
Central,Cook Inlet,1984,Chinook,10776,327641.73,308393
Central,Cook Inlet,1984,Chum,773268,2269424.98,5980437
Central,Cook Inlet,1984,Coho,467080,2191846.57,3337780
Central,Cook Inlet,1984,Pink,1318074,1235809.42,4950215
Central,Cook Inlet,1984,Sockeye,2375724,13234064.54,13710139
Central,Cook Inlet,1985,Chinook,25081,860549.29,694649
Central,Cook Inlet,1985,Chum,802623,2701407.32,6123427
Central,Cook Inlet,1985,Coho,677053,3423608.47,4899804
Central,Cook Inlet,1985,Pink,1317459,997203.67,4589804
Central,Cook Inlet,1985,Sockeye,4335380,30151213.48,24213092
Central,Cook Inlet,1986,Chinook,40052,1070563.82,1033820
Central,Cook Inlet,1986,Chum,1227385,3462923.73,9159976
Central,Cook Inlet,1986,Coho,776348,3214961.61,5015018
Central,Cook Inlet,1986,Pink,2709349,1513134.2,9646284
Central,Cook Inlet,1986,Sockeye,5026933,41163438.69,28669984
Central,Cook Inlet,1987,Chinook,40608,1556933.79,1164467
Central,Cook Inlet,1987,Chum,510471,1515846.93,3813934
Central,Cook Inlet,1987,Coho,464700,2392718.59,3073228
Central,Cook Inlet,1987,Pink,310654,376114.87,1084914
Central,Cook Inlet,1987,Sockeye,9705208,100491975.21,64831243
Central,Cook Inlet,1988,Chinook,30756,1460553.68,888846
Central,Cook Inlet,1988,Chum,1035702,7406424.56,8510406
Central,Cook Inlet,1988,Coho,570226,5566699.45,4031162
Central,Cook Inlet,1988,Pink,1395677,3081297.13,4570297
Central,Cook Inlet,1988,Sockeye,7159231,119033218.92,46794566
Central,Cook Inlet,1989,Chinook,28658,904337.69,672364
Central,Cook Inlet,1989,Chum,137277,391391.45,1006801
Central,Cook Inlet,1989,Coho,347992,1594314.77,2294916
Central,Cook Inlet,1989,Pink,1364301,1690207.35,4213625
Central,Cook Inlet,1989,Sockeye,5135160,57931184.38,33659821
Central,Cook Inlet,1990,Chinook,17665,459417.9,385469
Central,Cook Inlet,1990,Chum,360835,1332012.53,2569377
Central,Cook Inlet,1990,Coho,509889,2505767.51,3291975
Central,Cook Inlet,1990,Pink,987104,914824.97,3105008
Central,Cook Inlet,1990,Sockeye,3814938,40801286.43,23963071
Central,Cook Inlet,1991,Chinook,14964,370977.12,308119
Central,Cook Inlet,1991,Chum,304455,596703.97,2019533
Central,Cook Inlet,1991,Coho,444990,1480313.82,2718713
Central,Cook Inlet,1991,Pink,843375,298522.91,2217806
Central,Cook Inlet,1991,Sockeye,2499890,14222350.75,13607170
Central,Cook Inlet,1992,Chinook,19062,573043.67,446250
Central,Cook Inlet,1992,Chum,297088,745385.63,2049955
Central,Cook Inlet,1992,Coho,474357,1989407.64,3057930
Central,Cook Inlet,1992,Pink,1175630,595311.52,4214065
Central,Cook Inlet,1992,Sockeye,9294195,96954595.93,60836698
Central,Cook Inlet,1993,Chinook,20917,558027.29,540967
Central,Cook Inlet,1993,Chum,127137,252776.09,742843
Central,Cook Inlet,1993,Coho,318908,1051263.41,1873903
Central,Cook Inlet,1993,Pink,967684,324488.44,2664848
Central,Cook Inlet,1993,Sockeye,4986192,29705304.85,28979611
Central,Cook Inlet,1994,Chinook,21172,600868.68,648226
Central,Cook Inlet,1994,Chum,333462,679398.79,2296770
Central,Cook Inlet,1994,Coho,597177,2855907.75,4273221
Central,Cook Inlet,1994,Pink,2171363,1051810.16,6984437
Central,Cook Inlet,1994,Sockeye,3703281,30264931.99,20881785
Central,Cook Inlet,1995,Chinook,20164,525411.65,515526
Central,Cook Inlet,1995,Chum,576239,1061425.95,4138081
Central,Cook Inlet,1995,Coho,461675,1455676.1,2988745
Central,Cook Inlet,1995,Pink,2982037,1468558.15,8729740
Central,Cook Inlet,1995,Sockeye,3238663,21203024.86,18005557
Central,Cook Inlet,1996,Chinook,15429,420499.23,422935
Central,Cook Inlet,1996,Chum,166654,216115,1271527
Central,Cook Inlet,1996,Coho,332318,783907.24,2078386
Central,Cook Inlet,1996,Pink,695612,149580.78,2176216
Central,Cook Inlet,1996,Sockeye,4371737,31816484.99,27013407
Central,Cook Inlet,1997,Chinook,14496,372972.35,382797
Central,Cook Inlet,1997,Chum,109638,161729.97,803846
Central,Cook Inlet,1997,Coho,161424,401435.72,1032336
Central,Cook Inlet,1997,Pink,2885364,1223770.01,8911263
Central,Cook Inlet,1997,Sockeye,4446483,32955152.65,28622423
Central,Cook Inlet,1998,Chinook,9068,212624.96,195371
Central,Cook Inlet,1998,Chum,100407,140016.17,730054
Central,Cook Inlet,1998,Coho,174747,497853.95,1222855
Central,Cook Inlet,1998,Pink,2009083,930277.07,6631135
Central,Cook Inlet,1998,Sockeye,1506566,8687038.67,7992271
Central,Cook Inlet,1999,Chinook,15891,432824.48,363588
Central,Cook Inlet,1999,Chum,182147,260491.41,1457435
Central,Cook Inlet,1999,Coho,132080,346849.77,772806
Central,Cook Inlet,1999,Pink,1156614,469845.83,2915610
Central,Cook Inlet,1999,Sockeye,3182694,23315870.55,17773416
Central,Cook Inlet,2000,Chinook,8417,219306.51,181118
Central,Cook Inlet,2000,Chum,200181,384133.1,1658251
Central,Cook Inlet,2000,Coho,237511,716386.32,1571078
Central,Cook Inlet,2000,Pink,1533463,543842.71,4035092
Central,Cook Inlet,2000,Sockeye,1557644,8509271.89,9616183
Central,Cook Inlet,2001,Chinook,10133,189450.23,179626
Central,Cook Inlet,2001,Chum,171939,407573.8,1406833
Central,Cook Inlet,2001,Coho,108462,207007.14,711167
Central,Cook Inlet,2001,Pink,665271,274676.21,2076451
Central,Cook Inlet,2001,Sockeye,2025942,7768217.15,11940503
Central,Cook Inlet,2002,Chinook,14199,349777.51,303845
Central,Cook Inlet,2002,Chum,278332,296681.73,2202909
Central,Cook Inlet,2002,Coho,249206,360764.82,1667027
Central,Cook Inlet,2002,Pink,2416318,597649.26,8354309
Central,Cook Inlet,2002,Sockeye,3060373,10847220.88,19277584
Central,Cook Inlet,2003,Chinook,19434,432023.8,387761
Central,Cook Inlet,2003,Chum,156092,145766.69,1087038
Central,Cook Inlet,2003,Coho,105364,183512.39,683469
Central,Cook Inlet,2003,Pink,899315,198090.74,2925641
Central,Cook Inlet,2003,Sockeye,4108775,15402021.32,23664151
Central,Cook Inlet,2004,Chinook,28083,756109.34,681955
Central,Cook Inlet,2004,Chum,351697,466051.54,2767247
Central,Cook Inlet,2004,Coho,306924,699064.42,2053148
Central,Cook Inlet,2004,Pink,2855211,419987.07,10012503
Central,Cook Inlet,2004,Sockeye,5032483,21709284.6,30364393
Central,Cook Inlet,2005,Chinook,27110,818071.82,669143
Central,Cook Inlet,2005,Chum,166795,310927.34,1341122
Central,Cook Inlet,2005,Coho,215414,700803,1369976
Central,Cook Inlet,2005,Pink,2354001,821871.3,8014478
Central,Cook Inlet,2005,Sockeye,5337717,29814367.5,31968841
Central,Cook Inlet,2006,Chinook,18254,618980.28,354728
Central,Cook Inlet,2006,Chum,135813,329811.93,1082765
Central,Cook Inlet,2006,Coho,205529,866652.6,1341632
Central,Cook Inlet,2006,Pink,1875495,846210.76,6979909
Central,Cook Inlet,2006,Sockeye,2414841,13044952.33,12194275
Central,Cook Inlet,2007,Chinook,17802,792019.97,367556
Central,Cook Inlet,2007,Chum,78711,121039.3,576759
Central,Cook Inlet,2007,Coho,179962,629943.34,1158600
Central,Cook Inlet,2007,Pink,434315,170655.85,1454392
Central,Cook Inlet,2007,Sockeye,3677818,22583604.03,22508368
Central,Cook Inlet,2008,Chinook,13310,860043.53,310123
Central,Cook Inlet,2008,Chum,225842,974724.13,1815921
Central,Cook Inlet,2008,Coho,171886,703400.73,1204393
Central,Cook Inlet,2008,Pink,674979,708222.88,2445120
Central,Cook Inlet,2008,Sockeye,2785814,19950832.27,16028165
Central,Cook Inlet,2009,Chinook,8622,361829.67,149690
Central,Cook Inlet,2009,Chum,156265,461852.78,1175142
Central,Cook Inlet,2009,Coho,153249,785020.87,999483
Central,Cook Inlet,2009,Pink,1203304,846991.15,3751817
Central,Cook Inlet,2009,Sockeye,2322334,17779885.86,13947992
Central,Cook Inlet,2010,Chinook,9788,354865.48,202802
